url,domain_name,url_fragments,excessive_subdomains,numeric_domain,tld,domain_length,path_length,punycode,percent_chars,at_chars,dash_chars,question_chars,and_chars,equal_chars,plus_chars,underscore_chars,shannon_entropy,label
https://www.flypig.co.uk/dnload.htm#buttonbar,www.flypig.co.uk,4,True,False,co.uk,16,20,True,0,0,0,0,0,0,0,0,3.4056390622295662,0
https://www.altuit.com/webs/altuit2/RunRev/,www.altuit.com,7,True,False,com,14,4,True,0,0,0,0,0,0,0,0,3.182005814760214,0
https://www.freewebs.com/morganross/index.htm,www.freewebs.com,5,True,False,com,16,10,True,0,0,0,0,0,0,0,0,3.077819531114783,0
https://etd.lsu.edu/docs/available/etd-11132008-125305/unrestricted/BoninThesis.pdf,etd.lsu.edu,8,True,False,edu,11,4,True,0,0,2,0,0,0,0,0,2.7321588913645702,0
https://www.angelfire.com/art/catteacorner/,www.angelfire.com,6,True,False,com,17,3,True,0,0,0,0,0,0,0,0,3.572469458770136,0
https://www.metadma.com/SoftwareHome.html,www.metadma.com,4,True,False,com,15,17,True,0,0,0,0,0,0,0,0,3.0062389286533895,0
https://code.google.com/p/sckt/,code.google.com,6,True,False,com,15,1,True,0,0,0,0,0,0,0,0,2.840223928941852,0
https://www.volvo.com/volvopenta/,www.volvo.com,5,True,False,com,13,10,True,0,0,0,0,0,0,0,0,2.66122625626979,0
https://www.oldskool.org/pc/flopper/,www.oldskool.org,6,True,False,org,16,2,True,0,0,0,0,0,0,0,0,2.952819531114783,0
https://www.total-knowledge.com/~sptk/,www.total-knowledge.com,5,True,False,com,23,5,True,0,0,1,0,0,0,0,0,3.6211755429194716,0
https://simplythebest.net/scripts/categories.php?cid=2,simplythebest.net,5,False,False,net,17,7,True,0,0,0,1,0,1,0,0,3.41041725276052,0
https://www.netsentron.com/servers.cfm,www.netsentron.com,4,True,False,com,18,11,True,0,0,0,0,0,0,0,0,3.1971597234241487,0
https://www.tt.net/onusound/,www.tt.net,5,True,False,net,10,8,True,0,0,0,0,0,0,0,0,2.1709505944546685,0
https://globetrotter-games.com/index.htm?E&amp;game/eFlyAtl.htm,globetrotter-games.com,5,False,False,com,22,20,True,0,0,1,1,1,0,0,0,3.538310595615006,0
https://www.computerworld.com/s/article/93784/Microsoft_sues_eight_alleged_spammers,www.computerworld.com,7,True,False,com,21,1,True,0,0,0,0,0,0,0,4,3.4039894464852614,0
https://www.synchrotech.com/support/install.html,www.synchrotech.com,5,True,False,com,19,7,True,0,0,0,0,0,0,0,0,3.43162356584743,0
https://dimkin.df.ru/fonts/,dimkin.df.ru,5,True,False,ru,12,5,True,0,0,0,0,0,0,0,0,3.084962500721156,0
https://tools.ietf.org/html/rfc1527,tools.ietf.org,5,True,False,org,14,4,True,0,0,0,0,0,0,0,0,3.182005814760214,0
https://www.yunqa.de/delphi/doku.php/products/sqlitespy/index,www.yunqa.de,8,True,False,de,12,6,True,0,0,0,0,0,0,0,0,3.0220552088742,0
https://news.bbc.co.uk/1/hi/world/africa/1944801.stm,news.bbc.co.uk,8,True,False,co.uk,14,1,True,0,0,0,0,0,0,0,0,3.182005814760214,0
https://www.jetcafe.org/~npc/doc/euc00-sendmail.html,www.jetcafe.org,6,True,False,org,15,4,True,0,0,1,0,0,0,0,0,3.32323142879762,0
https://www.freecolorprinters.com/affiliate,www.freecolorprinters.com,4,True,False,com,25,9,True,0,0,0,0,0,0,0,0,3.593269689515108,0
https://www.pagecolumn.com/tool/regtest.htm,www.pagecolumn.com,5,True,False,com,18,4,True,0,0,0,0,0,0,0,0,3.461320140211008,0
https://www.smartwebby.com/web_site_design/css_styles.asp,www.smartwebby.com,5,True,False,com,18,15,True,0,0,0,0,0,0,0,3,3.3921472236645345,0
